idx;stop_epoch;window_length;n_filters;kernel_size;n_conv_layer;LSTM1_units;LSTM2_units;n_window;val_rmse;val_score;rmse_combined;score_combined;AIC;train_loss;mle_term;params_term;geno_list
0;17;2;8;2;2;240;240;29;14,31522465;1444,097412;14,50516964;1463,091911;1899449,878;130,3175354;77271,87829;1822178;"[2; 8; 2; 12; 12]"
0;15;2;7;2;1;220;160;29;14,32302761;1112,165771;14,45353855;1125,216866;1305109,425;177,8661652;82207,42501;1222902;"[2; 7; 1; 11; 8]"
0;19;3;8;3;2;160;160;28;14,33009148;1246,193481;14,44362594;1257,546928;1135344,633;160,635025;80590,63292;1054754;"[3; 8; 2; 8; 8]"
0;19;2;4;2;2;220;100;29;14,3306179;1157,049561;14,42354359;1166,342129;929256,8058;204,0025177;84382,80577;844874;"[2; 4; 2; 11; 5]"
0;15;4;4;4;2;260;180;27;14,33600712;1260,442749;14,50880979;1277,723016;1728026,729;163,9291992;80912,72916;1647114;"[4; 4; 2; 13; 9]"
0;15;4;4;4;1;280;140;27;14,3437252;1140,923706;14,51246699;1157,797884;1687417,824;194,572052;83631,82393;1603786;"[4; 4; 1; 14; 7]"
0;13;2;2;2;1;200;160;29;14,3450489;1208,95874;14,44083218;1218,537067;957832,7264;198,5222168;83950,72644;873882;"[2; 2; 1; 10; 8]"
0;15;2;4;2;1;280;160;29;14,35180378;1260,784424;14,50455885;1276,059931;1527550,707;174,109436;81868,70673;1445682;"[2; 4; 1; 14; 8]"
0;19;2;4;2;2;280;100;29;14,36194706;1277,049072;14,48908555;1289,762922;1271384,927;202,5691528;84270,92736;1187114;"[2; 4; 2; 14; 5]"
0;20;2;5;2;1;120;120;29;14,36306763;1103,468018;14,4197511;1109,136365;566834,7122;198,7974854;83972,7122;482862;"[2; 5; 1; 6; 6]"
0;20;2;5;2;1;120;120;29;14,36306763;1103,468018;14,4197511;1109,136365;566834,7122;198,7974854;83972,7122;482862;"[2; 5; 1; 6; 6]"
0;20;2;4;2;2;180;180;29;14,36575699;1282,727783;14,46817727;1292,969812;1024202,859;157,6087799;80288,85876;943914;"[2; 4; 2; 9; 9]"
0;20;2;4;2;2;180;180;29;14,36575699;1282,727783;14,46817727;1292,969812;1024202,859;157,6087799;80288,85876;943914;"[2; 4; 2; 9; 9]"
0;20;2;4;2;2;180;180;29;14,36575699;1282,727783;14,46817727;1292,969812;1024202,859;157,6087799;80288,85876;943914;"[2; 4; 2; 9; 9]"
0;18;3;8;3;1;220;220;28;14,36825466;1184,852783;14,55215304;1203,242621;1838983,813;161,9277496;80717,81295;1758266;"[3; 8; 1; 11; 11]"
0;13;4;1;4;1;240;200;27;14,37208462;1231,748047;14,5082137;1245,360955;1361290,821;210,13591;84852,82084;1276438;"[4; 1; 1; 12; 10]"
0;15;3;4;3;1;180;120;28;14,37488079;1112,051147;14,46257874;1120,820943;876979,5374;206,1055298;84545,53744;792434;"[3; 4; 1; 9; 6]"
0;17;4;4;4;2;240;120;27;14,37729454;1389,489258;14,50984527;1402,744331;1325507,325;186,8977814;82993,32477;1242514;"[4; 4; 2; 12; 6]"
0;15;4;2;4;2;280;160;27;14,38086128;1241,636719;14,53372284;1256,922874;1528615,564;181,0115356;82485,56361;1446130;"[4; 2; 2; 14; 8]"
0;15;5;3;5;2;280;100;26;14,38283348;1254,184448;14,53199027;1269,100127;1491567,854;206,0576935;84541,85435;1407026;"[5; 3; 2; 14; 5]"
0;20;4;5;4;2;340;200;27;14,38309765;1364,002075;14,64700399;1390,392709;2639063,382;152,263382;79741,38239;2559322;"[4; 5; 2; 17; 10]"
